Vassom,Q,TotN,DIN,SS,TOC,TDP
001.,1149.9914413970946,373.6241016116046,147.63820960033493,282.6510747107432,9294.378225664444,1.871732376303977
002.,23673.136588110352,4477.726773412006,1565.5194623860489,14010.856524862016,99896.19588662592,53.968029370029306
003.,583.1216412952423,225.72433000165518,82.31633217973504,163.22882181141404,4667.1515631304555,0.9179446577942195
004.,120.99177027139665,65.40264774065629,29.84483808135855,416.0351580173251,899.7650340642853,0.42657619933820934
005.,60.03169374847412,29.924577326653846,15.254665367229464,51.130504793939146,355.2727075680939,0.06273193004151265
006.,185.74401396560668,44.39632784762602,16.002416998025893,109.52899431182728,776.658464737292,0.31148841841502084
007.,155.0507295753479,58.52528139654646,13.637317871577375,97.75702066794925,1191.4713495073554,0.450525765625673
008.,178.7499705511093,54.9303629347701,20.297803134232765,53.86420662774657,963.3560417985132,0.18502622109056366
009.,443.9322553676605,180.7191748206093,69.10902831136386,395.4060832427044,2384.8287379464737,0.8239056334586738
010.,92.61432932755183,36.67809477324538,29.580762084405375,30.07673573734027,480.07357315076456,0.4148595758854518
011.,248.5642233718872,110.40916445993355,46.82639713658722,673.932715051542,1365.021040211549,0.6835227594616002
012.,11828.709241699218,1881.784140517986,738.4289718042282,1846.967321695698,39283.72147463392,11.906327833576492
013.,224.70164661827087,42.548435871548726,20.288481129929284,123.74006281598004,1285.865354226342,0.274463007576871
014.,617.4012730081558,278.7977417247611,218.39175306600092,1946.8389584911365,3825.974630911855,1.8370320326860667
015.,4022.187823608398,792.5147250204681,277.749291265482,1602.9438645102343,17325.419829496237,6.656658727719111
016.,9012.396444433594,1282.9447090815095,455.7655567676199,614.1326136278525,22531.281883347354,7.93789611254545
017.,1676.6379914714814,493.86651581823315,143.8664649452244,229.44015661298,8984.664513139143,3.166042336997616
